feature	logFC	AveExpr	t	P.Value	adj.P.Val	B	name	name_lipid1	name_lipid3	identity	abbreviation	composition	pre_fatty_acid_length	n_doub_bonds	definition	m_z	rt	main_fat_acd_length_num	main_fat_acd_length_fct	definition2
NA_910.49595_6.23	0.44554410720163823	11.472250811662512	1.4185167350146588	0.18243316701195456	0.35303560574766457	-5.737645333746956	NA	NA	NA	NA	NA	NA	NA	NA	NA	910.49595	6.23	NA	NA	NA
NA_938.54903_7.27	0.35884969510088016	10.606249134231787	1.4329202323052712	0.1783663749718872	0.3481711639451238	-5.738030954397827	NA	NA	NA	NA	NA	NA	NA	NA	NA	938.54903	7.27	NA	NA	NA
NA_545.51711_7.93	0.6485990537623852	12.313344629265028	1.4293631251034071	0.17936354719535585	0.3493192002390739	-5.742769978855612	NA	NA	NA	NA	NA	NA	NA	NA	NA	545.51711	7.93	NA	NA	NA
PE 38:7; PE 16:1 22:6_761.49874_7.21	0.9303726155642762	13.537489328087926	1.4096274391897412	0.18498171635375676	0.35694180136020065	-5.743496362232623	PE 38:7; PE 16:1 22:6	PE 38:7	PE 38:7	PE 38:7	PE	38:7	38	7	PE	761.49874	7.21	38	38	PE 38:7
LPE O-24:2_547.39961_6.83	-0.28897259226666017	10.304601233068551	-1.3711848900782702	0.19634871681137459	0.3673204910337654	-5.745321831391741	LPE O-24:2	LPE 24:2	LPE 24:2	LPE O-24:2	LPE	O-24:2	24	2	LPE	547.39961	6.83	24	24	LPE O-24:2
LPE 24:4_557.34677_4.49	0.602659789175073	11.452494002091441	1.3781686069003105	0.19424154690401385	0.36537947369169127	-5.745355211084083	LPE 24:4	LPE 24:4	LPE 24:4	LPE 24:4	LPE	24:4	24	4	LPE	557.34677	4.49	24	24	LPE 24:4
NA_281.27171_15.15	-0.17964848742974351	11.58871750650646	-1.3742456715070668	0.19542287337707945	0.3663910732470381	-5.745451602197614	NA	NA	NA	NA	NA	NA	NA	NA	NA	281.27171	15.15	NA	NA	NA
NA_775.7702_9.06	0.3236127853402262	12.303658098838312	1.4069754741540932	0.18574778906587594	0.357271648338419	-5.745914190351838	NA	NA	NA	NA	NA	NA	NA	NA	NA	775.7702	9.06	NA	NA	NA
PI 39:4_900.57145_7.8	-0.2812564105763566	13.530341853675685	-1.4040129420734937	0.186606716493339	0.358519990743108	-5.750549893903058	PI 39:4	PI 39:4	PI 39:4	PI 39:4	PI	39:4	39	4	PI	900.57145	7.8	39	39	PI 39:4
NA_811.68818_12.65	0.30095705386739274	13.388709324354991	1.393234799999225	0.1897597166579545	0.3621336268735042	-5.750677191855885	NA	NA	NA	NA	NA	NA	NA	NA	NA	811.68818	12.65	NA	NA	NA
